AREA,TIPO,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL
","PASSAGEIROS PAGANTES
","PASSAGEIROS INTEGRAÇÕES ÔNIBUS 0> ÔNIBUS
","PASSAGEIROS COM GRATUIDADE
",TOTAL PASSAGEIROS TRANSPORTADOS,nome,letreiro
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,902210 - V IORIO TERM LAPA,"3,870","9,428",200,"2,270",121,"7,922",3,"3,725",1,"27,540","17,929","6,693","52,162",902210,V IORIO TERM LAPA
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,930110 - TERM CASA VERDE / PAISSANDU,"20,470","47,536","1,161","10,011",511,"33,669",2,"4,762",28,"118,150","61,871","14,868","194,889",930110,TERM CASA VERDE / PAISSANDU
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,950010 - TERM CACHOEIRINHA / PAISSANDU,"29,158","69,952","1,864","12,869","1,140","60,099",23,"4,980",26,"180,111","132,627","24,182","336,920",950010,TERM CACHOEIRINHA / PAISSANDU
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,950110 - TERM  CACHOEIRINHA / PAISSANDU,"33,267","93,535","2,567","19,677","1,794","95,188",6,"6,399",29,"252,462","205,396","23,043","480,901",950110,TERM  CACHOEIRINHA / PAISSANDU
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,950121 - TERM CACHOEIRINHA / TERM P ISABE,198,836,68,134,18,865,0,35,0,"2,154","11,684",301,"14,139",950121,TERM CACHOEIRINHA / TERM P ISABE
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,965310 - PEDRA BRANCA / LGO DO PAISSANDU,"40,891","80,305","1,738","15,565",916,"66,206",37,"3,390",27,"209,075","108,348","30,781","348,204",965310,PEDRA BRANCA / LGO DO PAISSANDU
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,199D10 - VILA LORIO / PINHEIROS,"28,020","81,365","1,562","13,026",776,"57,929",29,"16,051",37,"198,795","124,364","21,421","344,580",199D10,VILA LORIO / PINHEIROS
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,846M10 - JD MARISA / SHOP IBIRAPUERA,"11,488","16,397",191,"4,255",216,"13,609",21,"2,258",6,"48,441","13,532","2,866","64,839",846M10,JD MARISA / SHOP IBIRAPUERA
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,847J10 - CITY JARAGUA / JAGUARE,"12,252","35,454",774,"9,000",505,"35,989",10,"3,125",12,"97,121","40,493","7,523","145,137",847J10,CITY JARAGUA / JAGUARE
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,847J41 - JARAGUA / CEASA,821,"2,284",45,431,16,"2,670",2,258,0,"6,527","1,665",330,"8,522",847J41,JARAGUA / CEASA
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,847P10 - TERM PIRITUBA / ITAIM BIBI,"41,900","95,465","2,795","23,258","1,376","81,524",101,"20,407",14,"266,840","183,767","20,894","471,501",847P10,TERM PIRITUBA / ITAIM BIBI
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,847P41 - VILA ZATT / ITAIM BIBI,"6,994","16,896",438,"3,983",190,"14,074",7,"3,635",3,"46,220","23,639","4,239","74,098",847P41,VILA ZATT / ITAIM BIBI
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,847P42 - VILA BRASILANDIA / ITAIM BIBI,"8,133","19,485",479,"4,279",265,"17,358",36,"4,145",2,"54,182","28,105","4,358","86,645",847P42,VILA BRASILANDIA / ITAIM BIBI
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,888P10 - PERUS / COHAB TAIPAS,"30,544","48,106",731,"13,369",497,"42,553",7,"18,177",17,"154,001","70,951","34,207","259,159",888P10,PERUS / COHAB TAIPAS
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,917H10 - MERCADO PIRITUBA / VLA MARIANA,"79,405","131,864","3,670","37,138","1,851","105,749",82,"29,631",56,"389,446","204,448","38,642","632,536",917H10,MERCADO PIRITUBA / VLA MARIANA
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,938C10 - COHAB TAIPAS / TERM PRINC ISABEL,"15,950","37,049",913,"10,342",658,"32,893",7,"2,878",7,"100,697","46,526","18,920","166,143",938C10,COHAB TAIPAS / TERM PRINC ISABEL
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,948A10 - VL ZATTI / TERM PIRITUBA,"10,883","26,627",651,"9,388",397,"25,809",0,"8,205",15,"81,975","33,290","11,080","126,345",948A10,VL ZATTI / TERM PIRITUBA
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,957T10 - COHAB TAIPAS / ITAIM BIBI,"22,436","47,616",889,"11,905",789,"48,004",5,"7,535",20,"139,199","70,820","14,876","224,895",957T10,COHAB TAIPAS / ITAIM BIBI
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,958P10 - JD NARDINI / COHAB TAIPAS,"19,750","33,227",599,"8,576",317,"32,721",32,"5,880",6,"101,108","41,157","6,759","149,024",958P10,JD NARDINI / COHAB TAIPAS
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,975A10 - VILA BRASILANDIA / METRO ANA ROS,"19,450","44,899","1,232","14,562",799,"39,887",17,"5,357",48,"126,251","57,873","12,488","196,612",975A10,VILA BRASILANDIA / METRO ANA ROS
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,978J10 - VOITH / PCA PRINC ISABEL,"15,700","40,918",759,"10,866",734,"39,073",9,"3,785",9,"111,853","51,997","13,850","177,700",978J10,VOITH / PCA PRINC ISABEL
AREA 1,CONCESSAO,2014-03-01,SANTA BRIGIDA,978L10 - TERM CACHOEIRNHA / TERM P ISABEL,"14,854","41,015","1,042","8,989",651,"37,206",10,"9,805",52,"113,624","87,185","16,557","217,366",978L10,TERM CACHOEIRNHA / TERM P ISABEL
AREA 1,PERMISSAO,2014-03-01,FENIX,101710 - PERUS / VILA IORIO,"33,171","77,552","1,396","18,845","1,165","73,962",27,"11,338",14,"217,470","136,320","49,554","403,344",101710,PERUS / VILA IORIO
AREA 1,PERMISSAO,2014-03-01,FENIX,801510 - CEM.PERUS / TERM.PIRITUBA,"28,736","59,267","1,053","15,653",942,"49,550",13,"16,951",23,"172,188","83,081","32,560","287,829",801510,CEM.PERUS / TERM.PIRITUBA
AREA 1,PERMISSAO,2014-03-01,FENIX,801521 - CEMITE DE PERUS / EST DE PERUS,"1,112","2,332",39,705,38,"2,647",0,"4,327",0,"11,200","3,993",999,"16,192",801521,CEMITE DE PERUS / EST DE PERUS
AREA 1,PERMISSAO,2014-03-01,FENIX,801610 - JD.RINCAO / TERM.PIRITUBA,"15,146","51,137","1,161","17,442","1,355","45,711",16,"12,698",30,"144,696","102,887","22,553","270,136",801610,JD.RINCAO / TERM.PIRITUBA
AREA 1,PERMISSAO,2014-03-01,FENIX,978210 - JD CARUMBE / METRO BARRA FUNDA,"35,866","87,846","1,376","22,878",747,"85,160",26,"22,973",2,"256,874","103,394","36,279","396,547",978210,JD CARUMBE / METRO BARRA FUNDA
AREA 1,PERMISSAO,2014-03-01,FENIX,978231 - JD CARUMBE / METRO BARRA FUNDA,"11,179","30,056",421,"7,281",219,"27,734",4,"3,651",0,"80,545","34,195","12,688","127,428",978231,JD CARUMBE / METRO BARRA FUNDA
AREA 1,PERMISSAO,2014-03-01,FENIX,978410 - JD DOS FRANCOS / BARRA FUNDA,"37,373","98,991","2,370","30,261","1,681","90,894",21,"46,501",38,"308,130","126,278","36,514","470,922",978410,JD DOS FRANCOS / BARRA FUNDA
AREA 1,PERMISSAO,2014-03-01,FENIX,819R10 - PERUS / TERM PRINC ISABEL,"28,806","53,361",879,"12,386",597,"52,234",14,"14,196",6,"162,479","84,938","31,964","279,381",819R10,PERUS / TERM PRINC ISABEL
AREA 1,PERMISSAO,2014-03-01,FENIX,848L10 - RECANTO DOS HUMILDES / TERM PRIN,"13,521","28,467",531,"10,947",707,"29,837",5,"11,568",1,"95,584","47,443","14,458","157,485",848L10,RECANTO DOS HUMILDES / TERM PRIN
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,100210 - CEM PQ PINHEIROS / MANDAQUI,3,71,0,14,0,60,0,1,0,149,14,14,177,100210,CEM PQ PINHEIROS / MANDAQUI
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,101510 - CHAC MARIA TRINDADE / T JD BRITA,"1,138","2,513",0,593,9,"1,720",1,22,0,"5,996","3,245",659,"9,900",101510,CHAC MARIA TRINDADE / T JD BRITA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,102110 - COHAB BRASILANDI / TERM PIRITUBA,"1,145","4,827",103,"1,445",111,"3,731",2,"1,232",0,"12,596","6,398","2,307","21,301",102110,COHAB BRASILANDI / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,801010 - PERUS / PQ RESIDENCIAL LAPA,"35,099","72,826",851,"16,716",839,"72,233",2,"15,871",13,"214,450","91,300","45,027","350,777",801010,PERUS / PQ RESIDENCIAL LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,801021 - SITIO BOTUQUARA / LAPA,146,679,6,215,3,708,0,77,0,"1,834",855,357,"3,046",801021,SITIO BOTUQUARA / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,801310 - MORRO DOCE / LAPA,"41,840","113,999","1,634","27,184","1,182","121,602",56,"26,271",3,"333,771","252,285","34,752","620,808",801310,MORRO DOCE / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,801341 - JD PAINEIRAS / TERM JD BRITANIA,"2,979","14,318",324,"2,980",152,"11,817",14,591,0,"33,175","24,606","3,698","61,479",801341,JD PAINEIRAS / TERM JD BRITANIA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,801410 - MORRO DOCE / PERUS,"27,511","41,133",499,"10,772",468,"46,809",1,"15,492",5,"142,690","75,704","30,493","248,887",801410,MORRO DOCE / PERUS
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,819410 - PERUS / CACHOEIRINHA,"20,545","37,155",567,"8,779",471,"36,012",5,"11,165",2,"114,701","65,762","31,840","212,303",819410,PERUS / CACHOEIRINHA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,819910 - PIRITUBA / CVN CACHOEIRINHA,"34,389","81,141","2,380","21,034","1,593","57,144",12,"8,215",26,"205,934","161,605","59,412","426,951",819910,PIRITUBA / CVN CACHOEIRINHA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900410 - JD ELISA MARIA / TERM V N CACHOE,"11,548","74,230","1,190","12,845",724,"64,961",0,63,18,"165,579","127,379","29,996","322,954",900410,JD ELISA MARIA / TERM V N CACHOE
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900510 - JD PRINCESA / TERM V N CACHOEIR,"14,003","81,976","1,508","16,854",884,"65,467",22,51,0,"180,765","134,988","33,484","349,237",900510,JD PRINCESA / TERM V N CACHOEIR
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900541 - JD.VISTA ALEGRE / T.CACHOEIRINHA,375,"3,393",83,705,39,"3,223",0,9,0,"7,827","6,184",813,"14,824",900541,JD.VISTA ALEGRE / T.CACHOEIRINHA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900542 - SITIO D FRANCOS / T V N CACHOEIR,114,"1,131",81,226,77,"1,188",0,3,0,"2,820","1,472",251,"4,543",900542,SITIO D FRANCOS / T V N CACHOEIR
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900610 - VILA PENTEADO / TERM V N CACHOEI,"6,362","26,859",735,"4,705",316,"23,427",0,23,3,"62,430","57,540","19,868","139,838",900610,VILA PENTEADO / TERM V N CACHOEI
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900810 - PQ TAIPAS / TERM V N CACHOEIR,"17,202","63,428","1,218","13,127",876,"51,378",13,60,7,"147,309","114,631","33,322","295,262",900810,PQ TAIPAS / TERM V N CACHOEIR
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900821 - Term. Nova Cachoeirinha,25,404,34,87,23,465,0,0,0,"1,038",43,66,"1,147",900821,Term. Nova Cachoeirinha
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900841 - ESTANCIA JARAGUA / TERM V N CACH,209,"2,650",37,466,27,"2,541",0,0,0,"5,930",630,476,"7,036",900841,ESTANCIA JARAGUA / TERM V N CACH
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,900910 - COHAB BRASILANDIA / TERM V N CAC,"20,415","64,242","1,963","15,622","1,560","52,901",20,44,9,"156,776","140,041","51,133","347,950",900910,COHAB BRASILANDIA / TERM V N CAC
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,901110 - CITY JARAGUA / TERM V N CACHOEIR,"26,615","71,052","1,658","18,204","1,196","61,308",10,"23,509",41,"203,593","121,495","46,583","371,671",901110,CITY JARAGUA / TERM V N CACHOEIR
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,901121 - ESTACAO JARAGUA / CITY JARAGUA,"7,624","25,900",604,"9,738",648,"26,697",0,"28,781",25,"100,017","32,034","15,612","147,663",901121,ESTACAO JARAGUA / CITY JARAGUA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,901510 - VILA ZATT / TERM PIRITUBA,"9,506","29,753",656,"8,012",377,"24,785",0,"9,272",0,"82,361","48,366","26,133","156,860",901510,VILA ZATT / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,901810 - VILA MIRANTE / TERM PIRITUBA,"4,557","23,974",324,"6,382",438,"17,694",21,"5,078",2,"58,470","27,818","14,093","100,381",901810,VILA MIRANTE / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,901910 - JD PAULISTA / TERM PIRITUBA,"9,954","39,070","1,000","13,598",806,"32,199",17,"8,753",2,"105,399","73,379","21,109","199,887",901910,JD PAULISTA / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,902010 - VILA MIRANTE / TERM PIRITUBA,"6,968","28,300",242,"9,640",453,"25,207",3,"5,778",1,"76,592","47,507","19,318","143,417",902010,VILA MIRANTE / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,902011 - TERM PIRITUBA / VILA MIRANTE,137,202,5,82,33,213,0,240,0,912,"1,243",85,"2,240",902011,TERM PIRITUBA / VILA MIRANTE
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,902310 - PQUE DE TAIPAS / TERM PIRITUBA,"18,405","62,674","1,241","19,402","1,492","52,950",24,"12,442",6,"168,636","102,782","39,239","310,657",902310,PQUE DE TAIPAS / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,903110 - FREG DO O  / LAPA,"4,929","12,888",150,"2,855",141,"10,874",1,"4,880",0,"36,718","16,790","10,263","63,771",903110,FREG DO O  / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,903210 - JD DAMASCENO / LAPA,"7,813","33,652",638,"6,685",375,"24,623",2,32,1,"73,821","72,281","21,125","167,227",903210,JD DAMASCENO / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,903221 - JD DAMASCENO / TERM CACHOEIRINHA,819,"6,051",74,"1,255",70,"5,160",1,2,0,"13,432","5,722","2,101","21,255",903221,JD DAMASCENO / TERM CACHOEIRINHA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,903410 - MORRO GRANDE / LAPA,"26,433","72,352","1,123","15,701","1,102","69,596",5,"16,299",2,"202,613","101,895","32,021","336,529",903410,MORRO GRANDE / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,904710 - JD PAULISTANO / LAPA,"27,980","67,151","1,211","18,928","1,284","69,791",2,"11,095",16,"197,458","115,380","39,458","352,296",904710,JD PAULISTANO / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,909010 - PQ TIETE / TERM CASA VERDE,"9,364","30,039",625,"5,091",273,"24,852",32,33,3,"70,312","52,995","22,204","145,511",909010,PQ TIETE / TERM CASA VERDE
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,918110 - VILA TEREZINHA / LAPA,"35,131","88,471","1,588","20,714","1,262","94,236",1,"10,235",22,"251,660","153,809","52,315","457,784",918110,VILA TEREZINHA / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,918610 - COHAB N BRASILANDIA / LAPA,"35,625","106,017","1,942","23,527","1,401","99,432",73,"16,423",3,"284,443","133,589","38,772","456,804",918610,COHAB N BRASILANDIA / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,918810 - CAPELA DA LAGOA / LAPA,"27,277","55,100",848,"13,458",711,"54,211",2,"9,035",3,"160,645","92,427","36,491","289,563",918810,CAPELA DA LAGOA / LAPA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,918842 - CAPELA DA LAGOA / TERM PIRITUBA,543,"1,951",29,486,7,"2,193",0,300,0,"5,509","1,856",607,"7,972",918842,CAPELA DA LAGOA / TERM PIRITUBA
AREA 1,PERMISSAO,2014-03-01,TRANSCOOPER,919110 - JD ELIS MARIA / BOM RETIRO,"44,539","85,383","1,527","19,914","1,299","89,269",16,"37,022",99,"279,068","137,948","52,938","469,954",919110,JD ELIS MARIA / BOM RETIRO
